task_number,n_components,confidence_threshold,total_accuracy,total_threshold_accuracy,total_grams,total_above_threshold,total_threshold_correct,total_threshold_incorrect,normalized_accuracy
1,3,-10.0,0.1263573783091089,0.1469699456008982,391.2,309.6,46.2,263.40000000000003,0.17539863325740318
1,3,-9.75,0.1244149959812519,0.1536009263107869,391.2,283.2,44.4,238.79999999999998,0.18592964824120603
1,3,-9.5,0.1244149959812519,0.1536009263107869,391.2,283.2,44.4,238.79999999999998,0.18592964824120603
1,3,-9.25,0.1244149959812519,0.1536009263107869,391.2,283.2,44.4,238.79999999999998,0.18592964824120603
1,3,-9.0,0.1244149959812519,0.1536009263107869,391.2,283.2,44.4,238.79999999999998,0.18592964824120603
1,3,-8.75,0.1244149959812519,0.1536009263107869,391.2,283.2,44.4,238.79999999999998,0.18592964824120603
1,3,-8.5,0.1244149959812519,0.1559355589598893,391.2,275.6,44.0,231.60000000000002,0.18998272884283246
1,3,-8.25,0.1244149959812519,0.1559355589598893,391.2,275.6,44.0,231.60000000000002,0.18998272884283246
1,3,-8.0,0.1244149959812519,0.1559355589598893,391.2,275.6,44.0,231.60000000000002,0.18998272884283246
1,3,-7.75,0.1244149959812519,0.1559355589598893,391.2,275.6,44.0,231.60000000000002,0.18998272884283246
1,3,-7.5,0.1244149959812519,0.1585435360645107,391.2,268.6,43.6,225.00000000000003,0.19377777777777777
1,3,-7.25,0.1244149959812519,0.1644101897699096,391.2,259.2,43.4,215.79999999999998,0.20111214087117701
1,3,-7.0,0.1244149959812519,0.1715763412641167,391.2,241.2,42.4,198.79999999999998,0.21327967806841047
1,3,-6.75,0.1244149959812519,0.1715763412641167,391.2,241.2,42.4,198.79999999999998,0.21327967806841047
1,3,-6.5,0.1244149959812519,0.1715763412641167,391.2,241.2,42.4,198.79999999999998,0.21327967806841047
1,3,-6.25,0.1244149959812519,0.1735404864816057,391.2,233.4,41.8,191.60000000000002,0.2181628392484342
1,3,-6.0,0.1244149959812519,0.1735404864816057,391.2,233.4,41.8,191.60000000000002,0.2181628392484342
1,3,-5.75,0.1244149959812519,0.186123934662118,391.2,209.8,40.6,169.20000000000002,0.23995271867612292
1,3,-5.5,0.1244149959812519,0.1870005660337014,391.2,205.0,39.6,165.4,0.23941958887545345
1,3,-5.25,0.1244149959812519,0.1887549519986136,391.2,193.2,37.8,155.39999999999998,0.24324324324324326
1,3,-5.0,0.1244149959812519,0.191599971395881,391.2,180.2,35.4,144.79999999999998,0.24447513812154698
1,3,-4.75,0.1244149959812519,0.191734627145903,391.2,173.0,34.0,139.0,0.2446043165467626
1,3,-4.5,0.1244149959812519,0.1949276000525563,391.2,161.8,32.6,129.20000000000002,0.2523219814241486
1,3,-4.25,0.1244149959812519,0.2041902171870343,391.2,152.0,32.4,119.6,0.2709030100334448
1,3,-4.0,0.1244149959812519,0.2041902171870343,391.2,152.0,32.4,119.6,0.2709030100334448
1,3,-3.75,0.1244149959812519,0.2041902171870343,391.2,152.0,32.4,119.6,0.2709030100334448
1,3,-3.5,0.1244149959812519,0.1980850085837692,391.2,140.6,28.6,112.0,0.2553571428571429
1,3,-3.25,0.1244149959812519,0.1625401785749,391.2,105.2,18.2,87.0,0.20919540229885056
1,3,-3.0,0.1244149959812519,0.1145266334851212,391.2,60.8,10.2,50.599999999999994,0.2015810276679842
1,3,-2.75,0.1244149959812519,0.003030303030303,391.2,17.0,0.2,16.8,0.011904761904761904
1,3,-2.5,0.1244149959812519,0.0,391.2,0.0,0.0,0.0,
1,3,-2.25,0.1244149959812519,0.0,391.2,0.0,0.0,0.0,
1,4,-10.0,0.1244149959812519,0.143174314457372,391.2,311.2,46.2,265.0,0.17433962264150946
1,4,-9.75,0.1329043780834689,0.152821291656398,391.2,327.8,46.8,281.0,0.16654804270462634
1,4,-9.5,0.1329043780834689,0.152821291656398,391.2,327.8,46.8,281.0,0.16654804270462634
1,4,-9.25,0.1329043780834689,0.152821291656398,391.2,327.8,46.8,281.0,0.16654804270462634
1,4,-9.0,0.1329043780834689,0.1530477044099493,391.2,321.2,46.0,275.2,0.1671511627906977
1,4,-8.75,0.1329043780834689,0.1530477044099493,391.2,321.2,46.0,275.2,0.1671511627906977
1,4,-8.5,0.1329043780834689,0.1537704571551877,391.2,319.4,46.0,273.4,0.16825164594001465
1,4,-8.25,0.1329043780834689,0.1557942666789972,391.2,312.2,45.8,266.4,0.17192192192192193
1,4,-8.0,0.1329043780834689,0.1593047064839386,391.2,298.6,45.0,253.60000000000002,0.17744479495268137
1,4,-7.75,0.1329043780834689,0.1642154629851207,391.2,291.4,45.0,246.39999999999998,0.18262987012987014
1,4,-7.5,0.1329043780834689,0.1642154629851207,391.2,291.4,45.0,246.39999999999998,0.18262987012987014
1,4,-7.25,0.1329043780834689,0.1707402757066606,391.2,273.2,44.4,228.79999999999998,0.19405594405594406
1,4,-7.0,0.1329043780834689,0.1736429615382074,391.2,243.8,41.0,202.8,0.2021696252465483
1,4,-6.75,0.1329043780834689,0.1736429615382074,391.2,243.8,41.0,202.8,0.2021696252465483
1,4,-6.5,0.1329043780834689,0.1811040508544572,391.2,229.0,40.4,188.6,0.2142099681866384
1,4,-6.25,0.1329043780834689,0.1811040508544572,391.2,229.0,40.4,188.6,0.2142099681866384
1,4,-6.0,0.1329043780834689,0.1827540023264727,391.2,225.6,40.4,185.2,0.21814254859611232
1,4,-5.75,0.1329043780834689,0.1835138807459256,391.2,224.4,40.2,184.2,0.21824104234527691
1,4,-5.5,0.1329043780834689,0.184684495938857,391.2,220.4,39.8,180.60000000000002,0.22037652270210406
1,4,-5.25,0.1329043780834689,0.1873197263460594,391.2,197.8,35.8,162.0,0.22098765432098763
1,4,-5.0,0.1329043780834689,0.1883742960818522,391.2,189.8,34.8,155.0,0.22451612903225804
1,4,-4.75,0.1329043780834689,0.1911329167715073,391.2,187.8,34.8,153.0,0.22745098039215683
1,4,-4.5,0.1329043780834689,0.1911329167715073,391.2,187.8,34.8,153.0,0.22745098039215683
1,4,-4.25,0.1329043780834689,0.2106587053430365,391.2,155.2,32.4,122.79999999999998,0.26384364820846906
1,4,-4.0,0.1329043780834689,0.2154934177149829,391.2,152.0,32.4,119.6,0.2709030100334448
1,4,-3.75,0.1329043780834689,0.2154934177149829,391.2,152.0,32.4,119.6,0.2709030100334448
1,4,-3.5,0.1329043780834689,0.1645476556806577,391.2,127.2,21.0,106.2,0.19774011299435026
1,4,-3.25,0.1329043780834689,0.0485714285714285,391.2,47.6,4.0,43.6,0.09174311926605504
1,4,-3.0,0.1329043780834689,0.0452380952380952,391.2,16.8,3.8,13.0,0.29230769230769227
1,4,-2.75,0.1329043780834689,0.0,391.2,7.2,0.0,7.2,0.0
1,4,-2.5,0.1329043780834689,0.0,391.2,0.0,0.0,0.0,
1,4,-2.25,0.1329043780834689,0.0,391.2,0.0,0.0,0.0,
1,5,-10.0,0.0901496498362378,0.1065713142578767,391.2,250.2,28.8,221.39999999999998,0.13008130081300814
1,5,-9.75,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-9.5,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-9.25,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-9.0,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-8.75,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-8.5,0.0724057980770665,0.0767526048933221,391.2,237.0,17.6,219.4,0.08021877848678213
1,5,-8.25,0.0724057980770665,0.0784942661702323,391.2,228.6,17.2,211.4,0.0813623462630085
1,5,-8.0,0.0724057980770665,0.0783179326479702,391.2,221.4,16.8,204.6,0.08211143695014664
1,5,-7.75,0.0724057980770665,0.0804732241649639,391.2,218.8,16.8,202.0,0.08316831683168317
1,5,-7.5,0.0724057980770665,0.0804732241649639,391.2,218.8,16.8,202.0,0.08316831683168317
1,5,-7.25,0.0724057980770665,0.0817650018006236,391.2,210.6,16.8,193.79999999999998,0.086687306501548
1,5,-7.0,0.0724057980770665,0.0819234176422077,391.2,210.2,16.8,193.39999999999998,0.08686659772492246
1,5,-6.75,0.0724057980770665,0.0807301008111433,391.2,200.8,15.8,185.0,0.08540540540540541
1,5,-6.5,0.0724057980770665,0.0846892547255071,391.2,192.4,15.8,176.6,0.08946772366930918
1,5,-6.25,0.0724057980770665,0.0846892547255071,391.2,192.4,15.8,176.6,0.08946772366930918
1,5,-6.0,0.0724057980770665,0.0860275760501288,391.2,184.4,15.4,169.0,0.09112426035502959
1,5,-5.75,0.0724057980770665,0.0891970916690417,391.2,167.2,14.8,152.39999999999998,0.09711286089238846
1,5,-5.5,0.0724057980770665,0.1086693565256423,391.2,129.8,14.4,115.4,0.12478336221837089
1,5,-5.25,0.0724057980770665,0.1099283922984212,391.2,125.4,14.0,111.4,0.12567324955116696
1,5,-5.0,0.0724057980770665,0.1099283922984212,391.2,125.4,14.0,111.4,0.12567324955116696
1,5,-4.75,0.0724057980770665,0.1137068536413724,391.2,116.2,13.4,102.8,0.1303501945525292
1,5,-4.5,0.0724057980770665,0.106547619047619,391.2,100.8,10.6,90.2,0.11751662971175166
1,5,-4.25,0.0724057980770665,0.1121496568283716,391.2,97.6,10.6,87.0,0.12183908045977011
