,pattern,user-timestamp,pattern-length,pattern-frequency
0,"ModeChange,GripperClose,ModeChange,LiftUp,ModeChange,WristIn,ModeChange,ArmRetract,ModeChange",4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601508465314;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601669170513;,9,2
1,"LiftUp,LiftDown,ArmExtend,ArmRetract,LiftDown,ArmExtend,LiftDown,ArmRetract,ArmExtend",4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601508675933;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601858175057;,9,2
2,"LiftUp,LiftDown,ArmExtend,ArmRetract,LiftDown,ArmExtend,LiftDown,ArmRetract,ArmExtend,ModeChange",4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601508675933;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601858175057;,10,2
3,"LiftDown,ArmExtend,ArmRetract,LiftDown,ArmExtend,LiftDown,ArmRetract,ArmExtend,ModeChange",4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601508677838;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601858176558;,9,2
4,"ModeChange,ArmExtend,ModeChange,WristIn,ModeChange,ArmExtend,ModeChange,WristIn,ModeChange",4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601511049626;4ouIFzngZ7P3RrKC6tvuM9Anw2i1:1601511133694;,9,2
5,"TurnLeft,ModeChange,LookRight,ModeChange,MoveForward,ModeChange,LookRight,LookLeft,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601669002426;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670775747;,9,2
6,"ModeChange,TurnLeft,ModeChange,WristOut,ModeChange,LiftUp,ModeChange,WristOut,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601669333532;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670503192;,9,2
7,"ModeChange,GripperOpen,ModeChange,ArmExtend,ModeChange,GripperClose,ModeChange,ArmRetract,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670623208;dUL4ELLXlcPFUmGKA8vw9yhDPsN2:1601751259670;,9,2
8,"ModeChange,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670986081;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671204568;,9,2
9,"ModeChange,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670986081;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671204568;,10,2
